id	year(patent.date)	inventor_id	state
4459166	1984	3859126-1	CA
3859126	1975	3859126-1	OH
4142203	1979	3859126-1	CA
4401767	1983	3859126-1	CA
4538348	1985	3859138-2	CT
4581302	1986	3859138-2	CT
4861618	1989	3859138-2	CT
3859138	1975	3859138-2	CT
4936745	1990	3859138-2	CT
5334462	1994	3859138-2	CT
4038463	1977	3859138-2	CT
3878296	1975	3859138-2	CT
4259389	1981	3859138-2	CT
4317865	1982	3859138-2	CT
4415537	1983	3859138-2	CT
3859144	1975	3859144-1	CT
4603257	1986	3859144-1	CT
4613259	1986	3859144-1	CT
4026677	1977	3859144-1	CT
4034454	1977	3859144-1	CT
3861953	1975	3859144-1	CT
3859144	1975	3859144-2	CT
4135030	1979	3859144-2	CT
4208222	1980	3859144-2	CT
3861953	1975	3859144-2	CT
4289801	1981	3859144-2	CT
4704648	1987	3859154-1	CA
4734145	1988	3859154-1	CA
4755246	1988	3859154-1	CA
4006275	1977	3859154-1	CA
3859154	1975	3859154-1	CA
3859166	1975	3859166-1	CT
4430293	1984	3859166-1	CT
4453709	1984	3859205-1	WA
4462722	1984	3859205-1	WA
4472886	1984	3859205-1	WA
4484500	1984	3859205-1	WA
4499801	1985	3859205-1	WA
4505412	1985	3859205-1	WA
4542842	1985	3859205-1	WA
4597573	1986	3859205-1	WA
4643775	1987	3859205-1	WA
3859205	1975	3859205-1	WA
3999696	1976	3859205-1	WA
4014487	1977	3859205-1	WA
4036679	1977	3859205-1	WA
4035870	1977	3859205-1	WA
4136808	1979	3859205-1	WA
4147287	1979	3859205-1	WA
4186860	1980	3859205-1	WA
4215956	1980	3859205-1	WI
4265573	1981	3859205-1	WA
4267795	1981	3859205-1	WA
4279610	1981	3859205-1	WA
4285452	1981	3859205-1	WA
4322027	1982	3859205-1	WA
4334340	1982	3859205-1	WA
4342413	1982	3859205-1	MA
4377985	1983	3859205-1	WA
4387065	1983	3859205-1	WA
4422565	1983	3859205-1	WA
3859207	1975	3859207-1	PA
3975453	1976	3859207-1	CT
3859208	1975	3859207-1	PA
3872220	1975	3859207-1	PA
3886089	1975	3859207-1	PA
3859209	1975	3859209-1	CA
3966410	1976	3859209-1	CA
4186187	1980	3859209-1	CA
3859219	1975	3859219-1	CA
3954918	1976	3859219-1	CA
3868376	1975	3859219-1	CA
3968157	1976	3859219-1	CA
3970568	1976	3859219-1	CA
3992307	1976	3859219-1	CA
4012368	1977	3859219-1	CA
4032462	1977	3859219-1	CA
4049562	1977	3859219-1	CA
4049561	1977	3859219-1	CA
4053427	1977	3859219-1	CA
